,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,BL,SP Won,SP Attempts,CP EX,FP EX,DE EX,P EX,Total EX,Team,Opponent,Outcome,Tournament,stat_type,Match Number,Ref 1,Ref 2
527,MILOS,Lovre,18:57,18,57,0,2,0,2,,,,,,,,,,,,,,0,1,,0,,,0,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
528,VRLIC,Josip,16:29,16,29,,,0,0,,,,,,,,,,,,,,,,,0,,1,1,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
529,OBRADOVIC,Paulo,11:19,11,19,4,4,3,3,,,1,1,,,,,,,,,,,,2,0,,,2,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
530,GARCIA GADEA,Javier,19:35,19,35,0,2,0,2,,,,,,,,,,,,,,,,,1,,,1,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
531,,,,,,14,29,6,16,0,1,6,10,,,,,2,2,2,4,3,2,4,11,7,,1,19,CRO,SRB,W,OLY2020,Team,21,GOLDENBERG,ZWART
532,PIJETLOVIC,Go ko,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,SRB,CRO,L,OLY2020,Player,21,GOLDENBERG,ZWART
533,MANDIC,Dusan,26:10:00,26,10,1,6,1,3,0,1,0,2,,,,,,,,2,,,,,1,,,1,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
534,DEDOVIC,Nikola,16:44,16,44,0,2,0,2,,,,,,,,,,,1,1,,1,1,1,1,,,2,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
535,RANDELOVIC,Sava,6:56,6,56,1,1,0,0,,,1,1,,,,,,,,,,,,2,0,,,2,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
536,LAZIC,Dorde,11:47,11,47,0,1,0,0,,,0,1,,,,,,,,,1,,,,0,,,0,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
537,PIJETLOVIC,Dusko,14:10,14,10,1,3,0,0,0,1,1,2,,,,,,,2,,1,,,,0,,,0,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
538,RASOVIC,Strahin a,26:59:00,26,59,2,5,0,2,,,2,3,,,,,,,,,,1,3,1,0,,,1,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
539,ALEKSIC,Milan,9:54,9,54,0,2,0,1,,,0,1,,,,,,,,,,,,1,1,,,2,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
540,JAKSIC,Nikola,18:10,18,10,3,5,0,1,,,3,4,,,,,,,1,,1,,,2,0,,,2,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
541,FILIPOVIC,Filip,24:09:00,24,9,2,4,2,2,,,0,2,,,,,,,,1,,,,,0,,,0,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
542,PRLAINOVIC,Andri a,26:31:00,26,31,1,3,0,1,,,0,1,,,1,1,,,,,,,,1,0,,,1,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
543,MITROVIC,Stefan,10:30,10,30,1,2,0,0,,,1,2,,,,,,,,,,,,1,2,,,3,SRB,CRO,L,OLY2020,Player,21,ZWART,GOLDENBERG
544,,,,,,12,34,3,12,0,2,8,19,,,1,1,,,4,4,3,2,4,9,5,,,14,SRB,CRO,L,OLY2020,Team,21,ZWART,GOLDENBERG
545,Del LUNGO,Marco,32:00:00,32,0,,,0,0,,,,,,,,,,,,1,,,,,0,,,0,ITA,JPN,W,OLY2020,Player,22,ZWART,GOLDENBERG
546,Di FULVIO,Francesco,16:59,16,59,1,4,1,3,,,,,0,1,,,,,2,1,,2,2,,1,,,1,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
547,LUONGO,Stefano,15:51,15,51,1,3,0,1,0,1,1,1,,,,,,,,,,1,1,,1,,1,2,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
548,FIGLIOLI,Pietro,13:00,13,0,3,3,1,1,,,1,1,,,1,1,,,,1,,1,1,,0,,,0,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
549,PRESCIUTTI,Nicholas,17:28,17,28,,,0,0,,,,,,,,,,,,1,,,,1,0,,2,3,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
550,VELOTTO,Alessandro,24:55:00,24,55,1,1,0,0,,,1,1,,,,,,,,4,1,,,,1,,,1,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
551,RENZUTO IODICE,Vincenzo,24:08:00,24,8,1,2,0,0,,,0,1,,,1,1,,,1,1,,,,2,0,,,2,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
552,ECHENIQUE,Gonzalo,15:44,15,44,1,1,0,0,,,,,,,,,1,1,,1,2,,,,1,,,1,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
553,FIGARI,Niccolo,11:40,11,40,2,4,1,2,,,1,2,,,,,,,,1,,,,1,1,,,2,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
554,BODEGAS,Michael Alexandre,16:09,16,9,3,4,1,1,0,1,2,2,,,,,,,2,,,,,,1,,,1,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
555,AICARDI,Matteo,13:24,13,24,2,2,0,0,1,1,1,1,,,,,,,1,,1,,,,1,,,1,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
556,DOLCE,Vincenzo,22:42,22,42,1,2,0,1,,,,,,,1,1,,,,1,,,,1,0,,,1,ITA,JPN,W,OLY2020,Player,22,IVANOSKI,PERIŠ
557,,,,,,16,26,4,9,1,3,7,9,0,1,3,3,1,1,6,12,4,4,4,5,7,,3,15,ITA,JPN,W,OLY2020,Team,22,IVANOSKI,PERIŠ
558,TANAMURA,Katsuyuki,32:00:00,32,0,,,0,0,,,,,,,,,,,,6,,,,,0,,,0,JPN,ITA,L,OLY2020,Player,22,IVANOSKI,PERIŠ
559,ADACHI,Seiya,23:03,23,3,1,4,0,0,,,1,2,0,1,,,0,1,,1,,0,1,,1,,,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
560,KOPPU,Harukiirario,21:29,21,29,0,1,0,0,,,,,0,1,,,,,1,2,,,,,0,,1,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
561,SHIGA,Mitsuaki,20:36,20,36,1,5,0,2,,,0,1,,,,,1,2,,4,,,,,0,,1,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
562,YOSHIDA,Takuma,16:54,16,54,0,2,0,0,,,0,2,,,,,,,,,,0,1,,1,,,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
563,SUZUKI,Toi,13:45,13,45,1,2,1,1,,,,,0,1,,,,,1,1,,0,1,,0,,,0,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
564,SHIMIZU,Yusuke,12:13,12,13,0,3,0,0,0,2,0,1,,,,,,,,,,,,,1,,,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
565,TAKATA,Mitsuru,11:14,11,14,1,2,0,0,,,1,1,,,,,0,1,1,,,,,,2,,,2,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
566,ARAI,Atsushi,19:45,19,45,1,2,0,0,,,1,1,,,0,1,,,,1,,0,1,1,2,,,3,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
567,INABA,Yusuke,25:37:00,25,37,3,8,0,2,,,1,2,0,2,2,2,,,,1,1,,,,1,,,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
568,OKAWA,Keigo,20:31,20,31,0,2,0,2,,,,,,,,,,,,,,,,,0,,1,1,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
569,ARAKI,Kenta,6:53,6,53,0,1,0,0,0,1,,,,,,,,,,,,,,,0,,,0,JPN,ITA,L,OLY2020,Player,22,PERIŠ,IVANOSKI
570,,,,,,8,32,1,7,0,3,4,10,0,5,2,3,1,4,3,16,1,0,4,1,8,,3,12,JPN,ITA,L,OLY2020,Team,22,PERIŠ,IVANOSKI
571,CARD,Devon,14:48,14,48,1,1,0,0,1,1,,,,,,,,,2,,1,,,,0,,,0,RSA,GRE,L,OLY2020,Player,23,PERIŠ,IVANOSKI
572,REZELMAN,Timothy,15:32,15,32,,,0,0,,,,,,,,,,,1,,,,,,0,,,0,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
573,BADENHORST,Nardus,16:15,16,15,1,3,0,1,,,1,2,,,,,,,,,,,,1,0,,,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
574,LAURENSON,Cameron Bain,13:07,13,7,0,1,0,0,,,0,1,,,,,,,,,,,,1,0,,,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
575,STONE,Ross,23:14,23,14,2,6,1,3,,,1,3,,,,,,,,,1,0,1,,1,,,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
576,EVEZARD,Jason,24:22:00,24,22,1,6,1,4,0,1,0,1,,,,,,,1,,1,1,1,2,0,,,2,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
577,RODDA,Nicholas,24:16:00,24,16,0,1,0,0,,,0,1,,,,,,,,,,1,2,,0,,1,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
578,MARGRO,Yaseen,19:08,19,8,,,0,0,,,,,,,,,,,,,,,,1,0,,,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
579,MAYMAN,Mogamad Farouk,8:15,8,15,,,0,0,,,,,,,,,,,,,,,,1,0,,,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
580,NEILL,Liam,15:37,15,37,,,0,0,,,,,,,,,,,1,,,,,,0,,,0,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
581,STEWART,Donn,17:26,17,26,0,4,0,4,,,,,,,,,,,,,,,,1,0,,,1,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
582,MAY,Gareth,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,RSA,GRE,L,OLY2020,Player,23,ZHANG,WALDOW
583,,,,,,5,22,2,12,1,2,2,8,,,,,,,8,,3,2,4,7,1,,1,9,RSA,GRE,L,OLY2020,Team,23,ZHANG,WALDOW
584,GENIDOUNIAS,Konstantinos,13:43,13,43,1,3,1,2,,,,,,,,,0,1,1,,,1,2,,1,,,1,GRE,RSA,W,OLY2020,Player,23,ZHANG,WALDOW
585,SKOUMPAKIS,Dimitrios,16:13,16,13,3,3,3,3,,,,,,,,,,,,2,,,,2,0,,,2,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
586,KAPOTSIS,Marios,20:44,20,44,3,4,1,1,,,1,1,,,,,1,2,,1,1,,,1,0,,,1,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
587,FOUNTOULIS,Ioannis,16:30,16,30,5,6,2,3,,,1,1,,,,,2,2,,1,,,,1,0,,,1,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
588,PAPANASTASIOU,Alexandros,20:49,20,49,3,6,2,3,,,0,1,,,,,1,2,,1,,1,1,,0,,,0,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
589,DERVISIS,Georgios,16:48,16,48,2,2,0,0,,,1,1,,,,,1,1,,1,1,,,,1,,,1,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
590,ARGYROPOULOS KANAKAKIS,Stylianos,18:08,18,8,4,6,1,3,,,2,2,,,,,1,1,,2,,,,1,0,,,1,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
591,MOURIKIS,Konstantinos,13:39,13,39,1,2,0,0,0,1,,,,,,,1,1,2,,,,,,0,,,0,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
592,KOLOMVOS,Christodoulos,15:40,15,40,1,2,0,0,0,1,1,1,,,,,,,1,,1,,,,0,,,0,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
593,GKIOUVETSIS,Konstantinos,20:49,20,49,3,6,0,2,0,1,1,1,1,1,1,1,,,,2,,0,1,,1,,,1,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
594,VLACHOPOULOS,Angelos,18:57,18,57,2,2,2,2,,,,,,,,,,,,4,1,,,,0,,,0,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
595,GALANIDIS,Konstantinos,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,GRE,RSA,W,OLY2020,Player,23,WALDOW,ZHANG
596,,,,,,28,42,12,19,0,3,7,8,1,1,1,1,7,10,4,14,4,2,4,5,3,,,8,GRE,RSA,W,OLY2020,Team,23,WALDOW,ZHANG
597,WOLF,Alex,32:00:00,32,0,,,0,0,,,,,,,,,,,,2,,,,,0,,,0,USA,HUN,L,OLY2020,Player,24,WALDOW,ZHANG
598,HOOPER,Johnny,15:25,15,25,1,3,0,1,,,1,2,,,,,,,,,,2,3,,0,,,0,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
599,VAVIC,Marko,19:05,19,5,0,1,0,0,,,0,1,,,,,,,,1,1,,,1,0,,,1,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
